Asset ID,Asset Name,Category,Type,Location,OEM,Purchase Year,Serial Number,Part Number,Quantity,Status
HW0028,Switch 28,Network,Switch,Warehouse,Cisco,2022,SN-100028,PN-200028,8,disposed
HW0029,Access Point 29,Network,Access Point,Room 1,Ubiquiti,2016,SN-100029,PN-200029,7,in use
HW0030,Desk 30,Furniture,Desk,Office A,IKEA,2022,SN-100030,PN-200030,5,reserved
HW0031,Desktop 31,Hardware,Desktop,Data Center,HP,2018,SN-100031,PN-200031,10,reserved
HW0032,Access Point 32,Network,Access Point,HQ,Ubiquiti,2021,SN-100032,PN-200032,7,available
HW0033,Desk 33,Furniture,Desk,Branch A,IKEA,2022,SN-100033,PN-200033,4,in use
HW0034,Cabinet 34,Furniture,Cabinet,Office B,Steelcase,2019,SN-100034,PN-200034,1,maintenance
HW0035,Car 35,Vehicle,Car,Warehouse,Toyota,2019,SN-100035,PN-200035,9,available
HW0036,Meeting Table 36,Furniture,Meeting Table,Room 1,IKEA,2019,SN-100036,PN-200036,15,disposed
HW0037,Printer 37,Hardware,Printer,Room 3,Canon,2017,SN-100037,PN-200037,19,available
HW0038,Motorcycle 38,Vehicle,Motorcycle,Data Center,Honda,2023,SN-100038,PN-200038,7,reserved
HW0039,Desktop 39,Hardware,Desktop,Room 3,HP,2023,SN-100039,PN-200039,5,disposed
HW0040,Office Chair 40,Furniture,Office Chair,Branch A,IKEA,2022,SN-100040,PN-200040,12,in use
HW0041,Van 41,Vehicle,Van,Data Center,Nissan,2016,SN-100041,PN-200041,9,disposed
HW0042,Router 42,Hardware,Router,Office B,Cisco,2018,SN-100042,PN-200042,17,in use
HW0043,Scanner 43,Electronics,Scanner,Branch A,Canon,2024,SN-100043,PN-200043,10,reserved
HW0044,Desk 44,Furniture,Desk,Room 2,IKEA,2025,SN-100044,PN-200044,8,disposed
HW0045,Television 45,Electronics,Television,Room 2,Samsung,2024,SN-100045,PN-200045,8,available
HW0046,Office Chair 46,Furniture,Office Chair,Branch A,IKEA,2022,SN-100046,PN-200046,6,in use
HW0047,Desk 47,Furniture,Desk,Branch B,IKEA,2018,SN-100047,PN-200047,6,maintenance
HW0048,Router 48,Network,Router,Office A,MikroTik,2019,SN-100048,PN-200048,7,available
HW0049,Cabinet 49,Furniture,Cabinet,Warehouse,Steelcase,2021,SN-100049,PN-200049,11,in use
HW0050,Desk 50,Furniture,Desk,Data Center,IKEA,2016,SN-100050,PN-200050,5,disposed
HW0051,Television 51,Electronics,Television,Data Center,Samsung,2020,SN-100051,PN-200051,12,maintenance
HW0052,Office Chair 52,Furniture,Office Chair,Branch A,IKEA,2021,SN-100052,PN-200052,9,maintenance
HW0053,Router 53,Network,Router,Room 3,MikroTik,2024,SN-100053,PN-200053,2,in use
HW0054,Camera 54,Electronics,Camera,Warehouse,Sony,2016,SN-100054,PN-200054,3,available
HW0055,Motorcycle 55,Vehicle,Motorcycle,Room 1,Honda,2019,SN-100055,PN-200055,18,maintenance
HW0056,Meeting Table 56,Furniture,Meeting Table,Warehouse,IKEA,2025,SN-100056,PN-200056,14,maintenance
HW0057,Car 57,Vehicle,Car,Branch B,Toyota,2023,SN-100057,PN-200057,18,in use
HW0058,Desk 58,Furniture,Desk,Room 2,IKEA,2016,SN-100058,PN-200058,6,in use
HW0059,Server 59,Hardware,Server,HQ,Dell,2017,SN-100059,PN-200059,15,maintenance
HW0060,Monitor 60,Hardware,Monitor,Branch B,Samsung,2018,SN-100060,PN-200060,2,maintenance
HW0061,Monitor 61,Hardware,Monitor,Office A,Samsung,2017,SN-100061,PN-200061,4,disposed
HW0062,Motorcycle 62,Vehicle,Motorcycle,Room 1,Honda,2018,SN-100062,PN-200062,9,reserved
HW0063,Meeting Table 63,Furniture,Meeting Table,Warehouse,IKEA,2024,SN-100063,PN-200063,8,in use
HW0064,Desktop 64,Hardware,Desktop,Data Center,HP,2025,SN-100064,PN-200064,17,maintenance
HW0065,Motorcycle 65,Vehicle,Motorcycle,HQ,Honda,2020,SN-100065,PN-200065,10,in use
HW0066,Projector 66,Electronics,Projector,Room 3,Epson,2023,SN-100066,PN-200066,17,in use
HW0067,Router 67,Network,Router,Room 1,MikroTik,2017,SN-100067,PN-200067,1,disposed
HW0068,Scanner 68,Electronics,Scanner,Office B,Canon,2022,SN-100068,PN-200068,1,in use
HW0069,Switch 69,Network,Switch,Room 3,Cisco,2023,SN-100069,PN-200069,6,reserved
HW0070,Router 70,Network,Router,Room 1,MikroTik,2021,SN-100070,PN-200070,19,available
HW0071,Office Chair 71,Furniture,Office Chair,Branch A,IKEA,2019,SN-100071,PN-200071,19,available
HW0072,Projector 72,Electronics,Projector,Room 2,Epson,2020,SN-100072,PN-200072,16,maintenance
HW0073,Office Chair 73,Furniture,Office Chair,Room 3,IKEA,2024,SN-100073,PN-200073,18,in use
HW0074,Switch 74,Network,Switch,Room 1,Cisco,2019,SN-100074,PN-200074,10,available
HW0075,Car 75,Vehicle,Car,Room 3,Toyota,2022,SN-100075,PN-200075,17,disposed
HW0076,Router 76,Network,Router,Branch A,MikroTik,2017,SN-100076,PN-200076,16,in use
HW0077,Cabinet 77,Furniture,Cabinet,Room 3,Steelcase,2016,SN-100077,PN-200077,10,maintenance
HW0078,Firewall 78,Network,Firewall,HQ,Fortinet,2019,SN-100078,PN-200078,11,disposed
HW0079,Meeting Table 79,Furniture,Meeting Table,Office B,IKEA,2021,SN-100079,PN-200079,20,reserved
HW0080,Cabinet 80,Furniture,Cabinet,Room 1,Steelcase,2018,SN-100080,PN-200080,3,disposed
HW0081,Cabinet 81,Furniture,Cabinet,Data Center,Steelcase,2019,SN-100081,PN-200081,2,maintenance
HW0082,Camera 82,Electronics,Camera,Warehouse,Sony,2025,SN-100082,PN-200082,5,available
HW0083,Router 83,Hardware,Router,Room 2,Cisco,2016,SN-100083,PN-200083,14,in use
HW0084,Car 84,Vehicle,Car,Branch A,Toyota,2023,SN-100084,PN-200084,16,available
HW0085,Firewall 85,Hardware,Firewall,Room 2,Fortinet,2018,SN-100085,PN-200085,14,available
HW0086,Router 86,Network,Router,Branch B,MikroTik,2018,SN-100086,PN-200086,8,disposed
HW0087,Motorcycle 87,Vehicle,Motorcycle,Branch B,Honda,2025,SN-100087,PN-200087,7,reserved
HW0088,Camera 88,Electronics,Camera,Branch A,Sony,2020,SN-100088,PN-200088,15,available
HW0089,Router 89,Network,Router,Room 1,MikroTik,2020,SN-100089,PN-200089,17,in use
HW0090,Meeting Table 90,Furniture,Meeting Table,Room 2,IKEA,2021,SN-100090,PN-200090,16,in use
HW0091,Camera 91,Electronics,Camera,Data Center,Sony,2016,SN-100091,PN-200091,15,reserved
HW0092,Router 92,Network,Router,Warehouse,MikroTik,2022,SN-100092,PN-200092,13,disposed
HW0093,Router 93,Hardware,Router,Office A,Cisco,2017,SN-100093,PN-200093,14,disposed
HW0094,Van 94,Vehicle,Van,HQ,Nissan,2019,SN-100094,PN-200094,9,disposed
HW0095,Meeting Table 95,Furniture,Meeting Table,Data Center,IKEA,2022,SN-100095,PN-200095,20,available
HW0096,Television 96,Electronics,Television,HQ,Samsung,2016,SN-100096,PN-200096,14,reserved
HW0097,Projector 97,Electronics,Projector,Office A,Epson,2017,SN-100097,PN-200097,10,in use
HW0098,Cabinet 98,Furniture,Cabinet,Warehouse,Steelcase,2016,SN-100098,PN-200098,18,reserved
HW0099,Meeting Table 99,Furniture,Meeting Table,Warehouse,IKEA,2025,SN-100099,PN-200099,4,available
HW0100,Van 100,Vehicle,Van,Warehouse,Nissan,2022,SN-100100,PN-200100,16,reserved
HW0101,Desktop 101,Hardware,Desktop,Room 3,HP,2018,SN-100101,PN-200101,12,maintenance
HW0102,Laptop 102,Hardware,Laptop,Room 3,Lenovo,2021,SN-100102,PN-200102,19,maintenance
HW0103,Projector 103,Electronics,Projector,Branch B,Epson,2018,SN-100103,PN-200103,5,disposed
HW0104,Projector 104,Electronics,Projector,Room 2,Epson,2021,SN-100104,PN-200104,7,available
HW0105,Router 105,Network,Router,Branch A,MikroTik,2023,SN-100105,PN-200105,14,in use
HW0106,Access Point 106,Network,Access Point,Room 1,Ubiquiti,2016,SN-100106,PN-200106,5,available
HW0107,UPS 107,Hardware,UPS,Branch A,APC,2022,SN-100107,PN-200107,11,reserved
HW0108,Car 108,Vehicle,Car,Office A,Toyota,2021,SN-100108,PN-200108,9,disposed
HW0109,Office Chair 109,Furniture,Office Chair,Warehouse,IKEA,2025,SN-100109,PN-200109,20,reserved
HW0110,Router 110,Network,Router,Branch B,MikroTik,2025,SN-100110,PN-200110,10,reserved
HW0111,Router 111,Network,Router,Room 2,MikroTik,2020,SN-100111,PN-200111,20,reserved
HW0112,Desk 112,Furniture,Desk,Room 3,IKEA,2021,SN-100112,PN-200112,5,reserved
HW0113,Router 113,Network,Router,Office A,MikroTik,2016,SN-100113,PN-200113,7,disposed
HW0114,Projector 114,Electronics,Projector,Room 3,Epson,2024,SN-100114,PN-200114,3,available
HW0115,Camera 115,Electronics,Camera,Office B,Sony,2018,SN-100115,PN-200115,7,available
HW0116,Van 116,Vehicle,Van,Office A,Nissan,2018,SN-100116,PN-200116,5,in use
HW0117,Switch 117,Network,Switch,Data Center,Cisco,2025,SN-100117,PN-200117,2,disposed
HW0118,Scanner 118,Electronics,Scanner,Room 1,Canon,2016,SN-100118,PN-200118,15,in use
HW0119,Projector 119,Electronics,Projector,Branch A,Epson,2020,SN-100119,PN-200119,9,maintenance
HW0120,Scanner 120,Electronics,Scanner,HQ,Canon,2023,SN-100120,PN-200120,3,available
HW0121,Projector 121,Electronics,Projector,Room 3,Epson,2023,SN-100121,PN-200121,9,maintenance
HW0122,Scanner 122,Electronics,Scanner,Office B,Canon,2022,SN-100122,PN-200122,5,in use
HW0123,Access Point 123,Network,Access Point,Branch A,Ubiquiti,2019,SN-100123,PN-200123,4,in use
HW0124,Office Chair 124,Furniture,Office Chair,Room 3,IKEA,2022,SN-100124,PN-200124,17,available
HW0125,Car 125,Vehicle,Car,Warehouse,Toyota,2023,SN-100125,PN-200125,16,disposed
HW0126,Motorcycle 126,Vehicle,Motorcycle,Room 1,Honda,2024,SN-100126,PN-200126,17,available
HW0127,Car 127,Vehicle,Car,Office B,Toyota,2019,SN-100127,PN-200127,9,available
HW0128,Car 128,Vehicle,Car,Data Center,Toyota,2017,SN-100128,PN-200128,8,in use
HW0129,UPS 129,Hardware,UPS,Office A,APC,2022,SN-100129,PN-200129,5,reserved
HW0130,Cabinet 130,Furniture,Cabinet,Office A,Steelcase,2021,SN-100130,PN-200130,10,available
HW0131,Printer 131,Hardware,Printer,Office B,Canon,2023,SN-100131,PN-200131,1,maintenance
HW0132,Scanner 132,Electronics,Scanner,Room 2,Canon,2024,SN-100132,PN-200132,8,in use
HW0133,Switch 133,Network,Switch,Room 1,Cisco,2025,SN-100133,PN-200133,10,in use
HW0134,Desktop 134,Hardware,Desktop,HQ,HP,2018,SN-100134,PN-200134,11,reserved
HW0135,Projector 135,Electronics,Projector,HQ,Epson,2022,SN-100135,PN-200135,20,maintenance
HW0136,Cabinet 136,Furniture,Cabinet,Office A,Steelcase,2022,SN-100136,PN-200136,12,available
HW0137,Car 137,Vehicle,Car,Branch B,Toyota,2021,SN-100137,PN-200137,17,in use
HW0138,Van 138,Vehicle,Van,Room 1,Nissan,2025,SN-100138,PN-200138,10,maintenance
HW0139,Switch 139,Hardware,Switch,Room 1,Cisco,2022,SN-100139,PN-200139,12,reserved
HW0140,UPS 140,Hardware,UPS,Office A,APC,2019,SN-100140,PN-200140,16,reserved
HW0141,Van 141,Vehicle,Van,Branch A,Nissan,2016,SN-100141,PN-200141,1,in use
HW0142,Cabinet 142,Furniture,Cabinet,Room 3,Steelcase,2022,SN-100142,PN-200142,1,available
HW0143,Monitor 143,Hardware,Monitor,Room 1,Samsung,2016,SN-100143,PN-200143,20,disposed
HW0144,Office Chair 144,Furniture,Office Chair,Data Center,IKEA,2016,SN-100144,PN-200144,5,maintenance
HW0145,Motorcycle 145,Vehicle,Motorcycle,Office A,Honda,2020,SN-100145,PN-200145,18,disposed
HW0146,Firewall 146,Network,Firewall,Office A,Fortinet,2018,SN-100146,PN-200146,4,reserved
HW0147,Desk 147,Furniture,Desk,Office A,IKEA,2022,SN-100147,PN-200147,18,in use
HW0148,Access Point 148,Network,Access Point,Office A,Ubiquiti,2025,SN-100148,PN-200148,18,disposed
HW0149,Switch 149,Hardware,Switch,Office A,Cisco,2022,SN-100149,PN-200149,5,reserved
HW0150,Motorcycle 150,Vehicle,Motorcycle,Room 1,Honda,2020,SN-100150,PN-200150,9,disposed
HW0151,Projector 151,Electronics,Projector,Office B,Epson,2017,SN-100151,PN-200151,20,disposed
HW0152,Projector 152,Electronics,Projector,Office B,Epson,2025,SN-100152,PN-200152,12,maintenance
HW0153,Desk 153,Furniture,Desk,Data Center,IKEA,2019,SN-100153,PN-200153,10,maintenance
HW0154,Desk 154,Furniture,Desk,Branch A,IKEA,2024,SN-100154,PN-200154,15,maintenance
HW0155,Car 155,Vehicle,Car,Office B,Toyota,2016,SN-100155,PN-200155,9,in use
HW0156,Switch 156,Network,Switch,Room 1,Cisco,2017,SN-100156,PN-200156,9,in use
HW0157,Router 157,Network,Router,HQ,MikroTik,2022,SN-100157,PN-200157,19,available
HW0158,Desk 158,Furniture,Desk,Data Center,IKEA,2025,SN-100158,PN-200158,4,maintenance
HW0159,Firewall 159,Network,Firewall,Office B,Fortinet,2020,SN-100159,PN-200159,13,in use
HW0160,Van 160,Vehicle,Van,Office A,Nissan,2022,SN-100160,PN-200160,2,disposed
HW0161,Meeting Table 161,Furniture,Meeting Table,Office A,IKEA,2018,SN-100161,PN-200161,1,reserved
HW0162,Projector 162,Electronics,Projector,Branch B,Epson,2019,SN-100162,PN-200162,10,in use
HW0163,Van 163,Vehicle,Van,Office B,Nissan,2018,SN-100163,PN-200163,4,reserved
HW0164,Access Point 164,Network,Access Point,Room 1,Ubiquiti,2020,SN-100164,PN-200164,1,in use
HW0165,Firewall 165,Network,Firewall,Branch A,Fortinet,2024,SN-100165,PN-200165,7,available
HW0166,Router 166,Network,Router,Room 1,MikroTik,2018,SN-100166,PN-200166,8,reserved
HW0167,Scanner 167,Electronics,Scanner,Room 1,Canon,2021,SN-100167,PN-200167,16,maintenance
HW0168,Projector 168,Electronics,Projector,Room 1,Epson,2017,SN-100168,PN-200168,7,reserved
HW0169,Firewall 169,Network,Firewall,Room 2,Fortinet,2023,SN-100169,PN-200169,20,available
HW0170,Meeting Table 170,Furniture,Meeting Table,Room 3,IKEA,2025,SN-100170,PN-200170,12,available
HW0171,Projector 171,Electronics,Projector,Room 1,Epson,2025,SN-100171,PN-200171,7,available
HW0172,Car 172,Vehicle,Car,Branch B,Toyota,2023,SN-100172,PN-200172,19,available
HW0173,Firewall 173,Network,Firewall,HQ,Fortinet,2025,SN-100173,PN-200173,9,maintenance
HW0174,Meeting Table 174,Furniture,Meeting Table,Branch B,IKEA,2021,SN-100174,PN-200174,2,available
HW0175,Monitor 175,Hardware,Monitor,Warehouse,Samsung,2019,SN-100175,PN-200175,7,reserved
HW0176,Router 176,Hardware,Router,Office B,Cisco,2022,SN-100176,PN-200176,5,disposed
HW0177,Projector 177,Electronics,Projector,Data Center,Epson,2017,SN-100177,PN-200177,19,available
HW0178,Television 178,Electronics,Television,Room 2,Samsung,2020,SN-100178,PN-200178,14,in use
HW0179,Projector 179,Electronics,Projector,Data Center,Epson,2025,SN-100179,PN-200179,5,available
HW0180,Meeting Table 180,Furniture,Meeting Table,Data Center,IKEA,2024,SN-100180,PN-200180,3,disposed
HW0181,Switch 181,Network,Switch,Office A,Cisco,2019,SN-100181,PN-200181,13,available
HW0182,Office Chair 182,Furniture,Office Chair,HQ,IKEA,2025,SN-100182,PN-200182,2,reserved
HW0183,Cabinet 183,Furniture,Cabinet,Room 3,Steelcase,2022,SN-100183,PN-200183,13,maintenance
HW0184,Router 184,Network,Router,Warehouse,MikroTik,2016,SN-100184,PN-200184,20,reserved
HW0185,Van 185,Vehicle,Van,Warehouse,Nissan,2017,SN-100185,PN-200185,6,disposed
HW0186,Router 186,Hardware,Router,Office A,Cisco,2018,SN-100186,PN-200186,8,in use
HW0187,Desk 187,Furniture,Desk,Branch B,IKEA,2022,SN-100187,PN-200187,10,available
HW0188,Desk 188,Furniture,Desk,Branch B,IKEA,2022,SN-100188,PN-200188,3,available
HW0189,Motorcycle 189,Vehicle,Motorcycle,Branch B,Honda,2023,SN-100189,PN-200189,4,in use
HW0190,Desktop 190,Hardware,Desktop,Branch B,HP,2020,SN-100190,PN-200190,10,disposed
HW0191,Switch 191,Hardware,Switch,Warehouse,Cisco,2023,SN-100191,PN-200191,18,available
HW0192,Scanner 192,Electronics,Scanner,Room 3,Canon,2019,SN-100192,PN-200192,13,available
HW0193,Car 193,Vehicle,Car,Room 2,Toyota,2021,SN-100193,PN-200193,18,available
HW0194,Cabinet 194,Furniture,Cabinet,HQ,Steelcase,2024,SN-100194,PN-200194,3,in use
HW0195,Laptop 195,Hardware,Laptop,Data Center,Lenovo,2017,SN-100195,PN-200195,14,maintenance
HW0196,Scanner 196,Electronics,Scanner,Room 1,Canon,2017,SN-100196,PN-200196,9,maintenance
HW0197,Storage 197,Hardware,Storage,Room 3,Synology,2024,SN-100197,PN-200197,14,available
HW0198,Router 198,Network,Router,Office A,MikroTik,2022,SN-100198,PN-200198,3,disposed
HW0199,Car 199,Vehicle,Car,Office B,Toyota,2021,SN-100199,PN-200199,7,disposed
HW0200,Television 200,Electronics,Television,Office A,Samsung,2020,SN-100200,PN-200200,10,reserved
HW0201,Van 201,Vehicle,Van,HQ,Nissan,2025,SN-100201,PN-200201,1,maintenance
HW0202,Desk 202,Furniture,Desk,HQ,IKEA,2019,SN-100202,PN-200202,9,reserved
HW0203,Storage 203,Hardware,Storage,Warehouse,Synology,2019,SN-100203,PN-200203,10,disposed
HW0204,Office Chair 204,Furniture,Office Chair,Room 3,IKEA,2018,SN-100204,PN-200204,12,reserved
HW0205,Meeting Table 205,Furniture,Meeting Table,Warehouse,IKEA,2019,SN-100205,PN-200205,8,maintenance
HW0206,Office Chair 206,Furniture,Office Chair,Room 3,IKEA,2018,SN-100206,PN-200206,14,available
HW0207,Switch 207,Network,Switch,HQ,Cisco,2021,SN-100207,PN-200207,2,reserved
HW0208,Switch 208,Hardware,Switch,HQ,Cisco,2022,SN-100208,PN-200208,2,reserved
HW0209,Laptop 209,Hardware,Laptop,Branch B,Lenovo,2017,SN-100209,PN-200209,17,in use
HW0210,Car 210,Vehicle,Car,Office B,Toyota,2019,SN-100210,PN-200210,8,maintenance
HW0211,Router 211,Network,Router,Branch A,MikroTik,2019,SN-100211,PN-200211,16,maintenance
HW0212,Meeting Table 212,Furniture,Meeting Table,Warehouse,IKEA,2024,SN-100212,PN-200212,16,available
HW0213,Router 213,Network,Router,Branch B,MikroTik,2019,SN-100213,PN-200213,16,disposed
HW0214,Cabinet 214,Furniture,Cabinet,Warehouse,Steelcase,2021,SN-100214,PN-200214,2,maintenance
HW0215,UPS 215,Hardware,UPS,Office A,APC,2024,SN-100215,PN-200215,19,reserved
HW0216,Camera 216,Electronics,Camera,Room 2,Sony,2023,SN-100216,PN-200216,9,in use
HW0217,Motorcycle 217,Vehicle,Motorcycle,Room 1,Honda,2021,SN-100217,PN-200217,18,reserved
HW0218,Cabinet 218,Furniture,Cabinet,Branch A,Steelcase,2019,SN-100218,PN-200218,12,available
HW0219,Firewall 219,Hardware,Firewall,Warehouse,Fortinet,2023,SN-100219,PN-200219,5,disposed
HW0220,Meeting Table 220,Furniture,Meeting Table,Office A,IKEA,2023,SN-100220,PN-200220,18,reserved
HW0221,Meeting Table 221,Furniture,Meeting Table,Office A,IKEA,2019,SN-100221,PN-200221,3,maintenance
HW0222,Switch 222,Network,Switch,Room 3,Cisco,2025,SN-100222,PN-200222,11,disposed
HW0223,Server 223,Hardware,Server,Branch B,Dell,2020,SN-100223,PN-200223,9,available
HW0224,Switch 224,Hardware,Switch,HQ,Cisco,2022,SN-100224,PN-200224,6,available
HW0225,Camera 225,Electronics,Camera,Office B,Sony,2024,SN-100225,PN-200225,19,maintenance
HW0226,Motorcycle 226,Vehicle,Motorcycle,Room 2,Honda,2025,SN-100226,PN-200226,10,in use
HW0227,Switch 227,Hardware,Switch,Room 1,Cisco,2016,SN-100227,PN-200227,19,maintenance
HW0228,Van 228,Vehicle,Van,Room 3,Nissan,2021,SN-100228,PN-200228,1,disposed
HW0229,Router 229,Hardware,Router,Branch B,Cisco,2025,SN-100229,PN-200229,8,disposed
HW0230,Desktop 230,Hardware,Desktop,Office B,HP,2025,SN-100230,PN-200230,9,reserved
HW0231,Van 231,Vehicle,Van,Office B,Nissan,2021,SN-100231,PN-200231,2,maintenance
HW0232,Projector 232,Electronics,Projector,Room 3,Epson,2021,SN-100232,PN-200232,9,disposed
HW0233,Access Point 233,Network,Access Point,Branch A,Ubiquiti,2022,SN-100233,PN-200233,3,available
HW0234,Switch 234,Network,Switch,Branch B,Cisco,2018,SN-100234,PN-200234,7,maintenance
HW0235,Server 235,Hardware,Server,Branch A,Dell,2016,SN-100235,PN-200235,14,reserved
HW0236,Camera 236,Electronics,Camera,Office B,Sony,2017,SN-100236,PN-200236,10,in use
HW0237,UPS 237,Hardware,UPS,Warehouse,APC,2018,SN-100237,PN-200237,6,disposed
HW0238,Van 238,Vehicle,Van,Branch A,Nissan,2023,SN-100238,PN-200238,10,available
HW0239,Access Point 239,Network,Access Point,Room 1,Ubiquiti,2022,SN-100239,PN-200239,10,disposed
HW0240,Car 240,Vehicle,Car,Data Center,Toyota,2017,SN-100240,PN-200240,15,maintenance
HW0241,Office Chair 241,Furniture,Office Chair,Warehouse,IKEA,2020,SN-100241,PN-200241,18,available
HW0242,Projector 242,Electronics,Projector,HQ,Epson,2017,SN-100242,PN-200242,1,in use
HW0243,Camera 243,Electronics,Camera,Branch B,Sony,2017,SN-100243,PN-200243,16,disposed
HW0244,Motorcycle 244,Vehicle,Motorcycle,Office B,Honda,2016,SN-100244,PN-200244,11,disposed
HW0245,Access Point 245,Network,Access Point,Branch A,Ubiquiti,2020,SN-100245,PN-200245,9,maintenance
HW0246,Meeting Table 246,Furniture,Meeting Table,Warehouse,IKEA,2025,SN-100246,PN-200246,17,in use
HW0247,Office Chair 247,Furniture,Office Chair,Room 2,IKEA,2024,SN-100247,PN-200247,8,available
HW0248,Scanner 248,Electronics,Scanner,Office B,Canon,2021,SN-100248,PN-200248,9,reserved
HW0249,Van 249,Vehicle,Van,Data Center,Nissan,2022,SN-100249,PN-200249,14,in use
HW0250,Scanner 250,Electronics,Scanner,Room 2,Canon,2018,SN-100250,PN-200250,12,in use
HW0251,Projector 251,Electronics,Projector,Office B,Epson,2018,SN-100251,PN-200251,12,reserved
HW0252,Firewall 252,Network,Firewall,Branch B,Fortinet,2022,SN-100252,PN-200252,19,reserved
HW0253,Desk 253,Furniture,Desk,Branch A,IKEA,2019,SN-100253,PN-200253,14,in use
HW0254,Access Point 254,Network,Access Point,Branch A,Ubiquiti,2016,SN-100254,PN-200254,7,disposed
HW0255,Storage 255,Hardware,Storage,Office A,Synology,2021,SN-100255,PN-200255,15,reserved
HW0256,Switch 256,Hardware,Switch,Branch A,Cisco,2021,SN-100256,PN-200256,20,maintenance
HW0257,Meeting Table 257,Furniture,Meeting Table,Branch B,IKEA,2024,SN-100257,PN-200257,1,in use
HW0258,Cabinet 258,Furniture,Cabinet,Office B,Steelcase,2018,SN-100258,PN-200258,17,in use
HW0259,Access Point 259,Network,Access Point,HQ,Ubiquiti,2024,SN-100259,PN-200259,1,in use
HW0260,Motorcycle 260,Vehicle,Motorcycle,Office B,Honda,2016,SN-100260,PN-200260,9,reserved
HW0261,Firewall 261,Network,Firewall,Warehouse,Fortinet,2020,SN-100261,PN-200261,13,reserved
HW0262,Television 262,Electronics,Television,Room 2,Samsung,2017,SN-100262,PN-200262,20,available
HW0263,Van 263,Vehicle,Van,Office B,Nissan,2019,SN-100263,PN-200263,10,in use
HW0264,Television 264,Electronics,Television,Office B,Samsung,2021,SN-100264,PN-200264,15,reserved
HW0265,Television 265,Electronics,Television,Warehouse,Samsung,2023,SN-100265,PN-200265,4,available
HW0266,Projector 266,Electronics,Projector,Room 3,Epson,2025,SN-100266,PN-200266,3,reserved
HW0267,Car 267,Vehicle,Car,Warehouse,Toyota,2020,SN-100267,PN-200267,4,reserved
HW0268,Television 268,Electronics,Television,Room 3,Samsung,2019,SN-100268,PN-200268,11,disposed
HW0269,Firewall 269,Network,Firewall,Office A,Fortinet,2025,SN-100269,PN-200269,11,in use
HW0270,Car 270,Vehicle,Car,Branch A,Toyota,2016,SN-100270,PN-200270,14,disposed
HW0271,Motorcycle 271,Vehicle,Motorcycle,Office B,Honda,2023,SN-100271,PN-200271,7,available
